aine_kood,nimi_et,eap,semester,kirjeldus,toimumisajad,oppejoud,opivaljundid,keel,hindamisskaala,asukoht,oppeaste,hindmaismeetod,miinimumnouded,eeldusained
MTAT.03.263,Arvutimängude loomine ja disain,6.0,sügis,"Kursus annab põhiteadmised, mis on vajalikud populaarsete arvuti/videomängude loomiseks, sh mängude kavandamine, disain, psühholoogia, graafika, turustamine, projektijuhtimine. Kursuse käigus loob õppija mängukavandi ning koost teiste liikmetega ka arvutimängu.",,"Jaanus Jaggo, Marek Pihel, Raimond-Hendrik Tunnel",#NAME?,inglise keel,"Eristav (A, B, C, D, E, F, mi)",,"bakalaureuseõpe, magistriõpe","Attending to the game design lecture 10%
Game design and technology homeworks 30%
Developing and presenting the project 60%","Student has presented the game progress during the milestone presentations.
Student has collected at least 20 points from the lectures and labs (40 points total).",MTAT.03.083 Süsteemide modelleerimine
LOTI.05.023,Võistlusrobootika projekt,6.0,sügis,"Töö toimub 3-4 liikmelistes rühmades. Iga rühm ehitab roboti, mis vastab DeltaX võistluse (https://ut-robotics.github.io/robot-basketball-rules/delta-x-2022/basketball_rules_eng.html) tingimustele. Kõik rühmad osalevad võistlusel, kus selgitatakse välja parim robot. Roboti ehitamine sisaldab roboti kere ehitust, andurite paigaldamist, mootorite ja andurite ühendamist mikroprotsessoriga, mikroprotsessori programmeerimist ja terviklahenduse testimist. Osaleda võivad kõik üliõpilased, kellel on teadmisi mehaanikas, mikroprotsessortehnikas või programmeerimises ning projektijuhtimises. Rühmad komplekteeritakse nii, et igaühes oleks esindatud roboti ehitamiseks vajalik kompetents. Kursusel osalemiseks on vaja avaüritusest osa võtta. Täpsem info esimeses loengus.",,"Allan Kustavus, Alvo Aabloo, Argo Aljand, Artur Eksi, Johannes Voldemar Langsepp, Martin Maidla, Michelle Lukken, Reiko Randoja, Robert Valge, Toomas Tanel Tammer","- Õppeaine läbinud õppija:
- Oskus realiseerida riistvaraline projekt grupitöökorras, kiirelt omandada vajalikud lisateadmised ning osata meeskonnana funktsioneerida",inglise keel,"Eristav (A, B, C, D, E, F, mi)",Tartu linn,"bakalaureuseõpe, magistriõpe, rakenduskõrgharidusõpe","Tasks must be completed to build a basketball robot. Tasks will earn points for your team, which are used for grading.

Grade points:
A 9001+
B 8001..9000
C 7001..8000
D 6001..7000
E 5001..6000
F 0..5000",Tasks have to be completed.,
HVAJ.03.004,Sissejuhatus Eesti ajalukku,6.0,sügis,Kursus käsitleb perioodi muinasaja lõpust 20. sajandi lõpuni. Kursusel antakse ülevaade poliitilise ajaloo põhisündmustest ning sotsiaal- ja kultuuriajaloo põhiarengutest. Samuti tutvustatakse viimaste aastakümnete peamisi historiograafilisi debatte. Eesti ajalugu käsitletakse laiemas regionaalse ajaloo kontekstis.,,Andres Andresen,"- 1. Üliõpilane omab teadmisi Eesti ajaloo põhisündmustest ning poliitika-, sotsiaal- ja kultuuriajaloo peamistest arengutest muinasaja lõpust kuni 20. sajandi lõpuni.
- 2. Üliõpilane oskab paigutada Eesti ajaloo põhisündmused laiemasse regionaalsesse konteksti (Baltimaad, Põhjamaad, Ida-Euroopa).
- 3. Üliõpilane omab üldteadmisi Eesti ajaloo historiograafia põhidebattidest.
- 4. Üliõpilane omab üldteadmisi Eesti ajaloolisest geograafiast (oskab nimetada Eesti ala põhilisi ajaloolisi regioone).",inglise keel,"Eristav (A, B, C, D, E, F, mi)",,"bakalaureuseõpe, doktoriõpe, integreeritud bakalaureuse- ja magistriõpe, magistriõpe, rakenduskõrgharidusõpe",The final result will be based on the written exam,,
LOMR.08.006,Biokeemia II,3.0,sügis,"Biokeemia II on dünaamilise biokeemia aluskursus, kus vaadeldakse katabolismi ja anabolismi põhiradasid, analüüsitakse nende radade regulatsiooni ja õpitakse tundma metabolismi integratsiooni raku ja organismi tasemel.",,Juhan Sedman,#NAME?,eesti keel,"Eristav (A, B, C, D, E, F, mi)",Tartu linn,bakalaureuseõpe,"Hinne moodustub 2 testi ja lõpueksami baasil. Testid moodustavad 15% +15% = 30% koguhindest, lõpueksam 70%.",Eelnevalt on vaja kirjutada kaks testi (6 ja 13. loengu algul),LOMR.08.005 Biokeemia I
MTMS.01.069,Andmeanalüüs I,3.0,sügis,"Õpetatakse andmete kogumise, salvestamise, kontrollimise põhiprintsiipe ja võtteid; andmete esmast töötlemist ja analüüsimist; lihtsamate järelduste sõnastamist; tulemuste vormikohast esitamist ja visualiseerimist.",,"Anne Selart, Heilika Nigulas, Mare Vähi","- Aine läbinud üliõpilane
- - tunneb andmeanalüüs põhimõisteid;
- - oskab teha kirjeldavat analüüsi;
- - oskab interpreteerida saadud tulemusi;
- - kasutab andmeanalüüsi põhimõisteid nii kirjalikult kui suuliselt  statistilise analüüsi aruandes ning esitluses.",eesti keel,"Eristav (A, B, C, D, E, F, mi)",Tartu linn,bakalaureuseõpe,Lõplik tulemus moodustub järgmiselt: praktikumitöö + projekt.,Positiivsele tulemusele sooritatud praktikumitööd (tunnikontrollid+kontrolltöö) ja kaitstud projekt.,
ARFA.02.040,Uurimistöö planeerimine,1.0,sügis,Sissejuhatavad loengud uurimistööst (lõputööst).,,Ivo Laidmäe,"- Kursuse läbinud üliõpilane:
- - teab, mis on uurimistöö;
- - on võimeline prognoosima uurimistöö võimalikke tulemusi;
- - tunneb teadustöö tegemise etappe;
- - oskab leida ja sisuliselt hinnata  löetletud  etappidesse puutuvat teavet;
- - rakendab saadud teadmisi uurimistöö  vormistamisel.",eesti keel,"Eristamata (arv, m.arv, mi)",Tartu linn,integreeritud bakalaureuse- ja magistriõpe,"Arvestus seisneb loengumaterjali ja iseseisvaks tööks ettenähtud materjali omandamise kontrollimises.
Hinnatakse: arvestatud või mittearvestatud.",Osavõtt kõikidest loengutest ja iseseisev töö.,
MTMS.01.037,Mitteparameetriline statistika,3.0,sügis,"Vaatluse all on jaotuse mitteparameetriline hindamine ja järkstatistikute põhiomadused. Kõige olulisema osa moodustavad
mitteparameetrilised hüpoteeside kontrollimise meetodid, peamine tähelepanu on pööratud paiknemiskarakteristikute
mitteparameetrilisele hindamisele.
Kogu materjali kohta lahendatakse ülesandeid.",,Anne Selart,"- Aine läbinud üliõpilane
- Teab järkstatistikute põhiomadusi;
- Tunneb enamkasutatavaid mitteparameetrilisi teste; 
- Oskab testida sagedamini esilekerkivaid hüpoteese ka siis, kui uuritava tunnuse jaotus pole teada;
- Oskab arvutada mitteparameetriliste testide võimsust (või vajaliku valimi suurust);
- Oskab mitteparameetrilise statistika meetodeid kasutada praktiliste ülesannete lahendamisel.",eesti keel,"Eristamata (arv, m.arv, mi)",Tartu linn,bakalaureuseõpe,"Lõpphinde kujunemine:
- kui eksamile pääsemise tingimused ei ole täidetud, on tulemuseks 'mittearvestatud';
- kui eksamitöö punktid on vähemalt 50% võimalikust maksimumist, siis on tulemuseks 'arvestatud', vastasel juhul on tulemuseks 'mittearvestatud';
- kui tudengil on eksamile pääsemise tingimused täidetud, kuid ta ei ilmu eksamile, on tulemuseks 'mitteilmunud'.","Mõlemad kodutööd esitatud õigeaegselt ja tööde eest saadud vähemalt pooled punktid.
Vähemalt kaks arvestatud tunnikontrolli.",
LOFY.03.001,Arvutiriistvara I,3.0,sügis,"Loengute käigus antakse ülevaade arvutite arhitektuuri põhiprintsiipidest ning arvutite ehitusest. Üliõpilane omandab ka ettekujutuse arvuti koostamisest ja oskuse valida arvutile hinna-kvaliteedi suhtes optimaalseid komponente ja lisaseadmeid. Kontrolltööd, õppematerjalide ja muu info jagamine toimub Moodle õpikeskkonna vahendusel.",,"Toomas Plank, Urmas Tamm","- Kursuse positiivsele hindele läbinud üliõpilane:
- Tunneb personaalarvuti põhilisi komponente;
- Oskab internetist arvutialast infot leida ja hinnata selle adekvaatsust;
- Omab elementaarseid teadmisi arvuti koostamisest;
- Oskab valida arvutile hinna-kvaliteedi suhtes optimaalseid komponente ja lisaseadmeid.",eesti keel,"Eristav (A, B, C, D, E, F, mi)",,"bakalaureuseõpe, magistriõpe","Eksamihindest 20% moodustub kontrolltööde hinnete põhjal ja 80% kirjaliku eksami hindest.
* Kursuse positiivse lõpphinde saamiseks tuleb sooritada nii kontrolltööd kui ka eksam positiivsele hindele (51 protsenti või enam).","* Eksamile pääsemiseks tuleb sooritada kõik kontrolltööd ja hinnatavad ülesanded positiivsele hindele (51 protsenti või enam).
* Kursuse positiivse lõpphinde saamiseks tuleb sooritada eksam positiivsele hindele (51 protsenti või enam).",
ARST.01.047,Stomatoloogia propedeutika (õpetus hambaravimaterjalidest),3.0,sügis,"Õpitakse tundma hammaste ja biomaterjalide füüsikalisi omadusi (aine tihedus, mehaanilised, optilised, soojuslikud ja elektrilised omadused, deformatsiooni liigid, materjali kõvadus). Omandatakse põhitõed ioniseerivate kiirguste kasutamise kohta meditsiinis. Käsitletakse  hambahaiguste ravis kasutatavaid materjale (alusmaterjalid,  amalgaamtäidised, tsementtäidised, klaasionomeertäidised, kompomeerid, juuretäidismaterjalid ja komposiittäidised). Sügissemestril toimuvad loengud. Kevadsemestril, peale teooria omandamist,  praktikumid.",Teisipäev,"Andres Korrovits, Egert Möller, Karl Jakob Levin",#NAME?,eesti keel,"Eristav (A, B, C, D, E, F, mi)",Tartu linn,integreeritud bakalaureuse- ja magistriõpe,"Eksamihinne kujuneb vastavalt TÜ õppekorralduseeskirjas ettenähtud õpitulemuste hindamise skaala järgi kuuepallisüsteemis. 
E - teab põhilisi teoreetilisi ja rakenduslikke printsiipe, fakte ja meetodeid. Tunneb nende rakendamise võimalusi tüüpolukordades. Aine sügavamad ja detailsemad teadmised puuduvad.
D - teab teoreetilisi ja rakenduslikke printsiipe, fakte ja meetodeid. Tunneb nende rakendamise võimalusi erinevates olukordades. Aine sügavamates ja detailsemates teadmistes avaldub mõningane ebakindlus ning ebatäpsus.
C - teab hästi teoreetilisi ja rakenduslikke printsiipe. Tunneb fakte ja meetodeid ning teab hästi nende rakendamise võimalusi erinevates olukordades. Eksamil on ilmnenud eksimused, mis ei ole sisulised ega põhimõttelised.
B - teab väga hästi teoreetilisi ja rakenduslikke printsiipe. Tunneb fakte ja meetodeid ning teab väga hästi nende rakendamise võimalusi erinevates olukordades. Tunneb erialakirjandust.
A - teab põhjalikult teoreetilisi ja rakenduslikke printsiipe. Tunneb väga hästi fakte ja meetodeid ning teab nende rakendamise võimalusi erinevates olukordades. Tunneb erialakirjandust mitmekülgselt.",Aine läbimiseks on kohustuslik osavõtt kõigist praktikumidest. Puudutud praktikumid tuleb järgi teha kokkuleppel õppejõuga.,"ARST.01.105 Sissejuhatus kliinilisse hambaravisse, ARST.01.108 Professionaalne areng I"
USUS.04.033,Uue Testamendi sissejuhatus,3.0,sügis,"Loengutes käsitletakse Uue Testamendi tekkeloo uurimise probleeme. Iseseisvalt peavad üliõpilased läbi lugema UT oma emakeeles ja ühe süsteemse UT sissejuhatuse standardkäsitluse. Täiendav iseseisev uurimistöö toetab loengutes esitatu mõistmist. Selle aluseks on raamatukogu ainepakett, mille põhjal üliõpilased võrdlevad erinevaid teemakäsitlusi ja vormistavad tulemuse kirjalikuks uurimistööks. Üliõpilased arvustavad üksteise artikleid.
Lisaks sisaldab veebikeskkond hulgaliselt täiendavaid õppematerjale, mille eesmärgiks on süvendatud teadmiste andmine.",,Ergo Naab,"- Kursuse läbinud üliõpilane:
- 1) tunneb Uue Testamendi sisu (emakeele baasil) ja on kursis UT raamatute tekkeloo põhiküsimustega ühe süsteemse teemakäsitluse põhjal,
- 2) mõistab üldjoontes UT uurimisega kaasnevat metodoloogilist problemaatikat (eri meetodite võimalused ja piirid), sh oskab kriitliselt hinnata erinevaid teemakäsitlusi,
- 3) oskab teha erinavate materjalide põhjal uurimistööd
- 4) ja selle tulemused vormistada akadeemilistele nõuetele vastavaks kirjalikuks uurimuseks
- 5) oskab anda tagasisidet kaasüliõpilase tööle
- 6) oskab planeerida uurimistööks ja teisteks õppeülesanneteks kuluvat aega",eesti keel,"Eristav (A, B, C, D, E, F, mi)",Tartu linn,bakalaureuseõpe,Test (vt hindamiskriteeriume),Isesisev uurimistöö peab olema sooritatud. Seminarides ja tagasiside sessioonidel osalemine on testi sooritamise kohustuslik eeldus.,
HVLC.01.008,"Inglise keel informaatika, tarkvara-  ja arvutitehnika üliõpilastele, tase B2 > C1",3.0,sügis,"Kursuse käigus tehakse kuulamis- ja sõnavaraharjutusi, loetakse ja analüüsitakse erialaseid tekste, tehakse ettekanne.",,Anett Raup,"- Õppija
- 1. mõistab ja kasutab erialases kontekstis kursusel õpitud sõnavara;
- 2. teeb erialase ettekande;
- 3. arendab erialaste suuliste ja kirjalike tekstide lugemis- ja kuulamisoskust.",eesti keel,"Eristamata (arv, m.arv, mi)",,bakalaureuseõpe,"Arvestus saadakse siis, kui semestri jooksul on täidetud kõik hindamisele pääsemise tingimused.","1. Osalemine õppetöös vähemalt 75% tundidest. 
2. Ettekande tegemine erialasel teemal.
3. Kolme kontrolltöö sooritamine (minimaalne punktisumma 75%).",
LTTO.00.011,Sissejuhatus kosmose avastamisse,6.0,sügis,"Käesolev sissejuhatav kursus on mõeldud kosmoseuuringute temaatikast huvitatud üliõpilastele. Kursuse käigus antakse ülevaade maailmas ja ka Eestis läbiviidud kosmoseuuringute ajaloost ning tulevikuperspektiividest. Tutvustatakse tähtsamaid kasutatavaid seadmeid, mõõtevahendeid ja nende tööpõhimõtteid. Antakse ülevaade kosmose rahumeelsetest ja ka sõjalistest rakendustest.",Neljapäev,"Janis Dalbinš, Joosep Kivastik, Mihkel Pajusalu","- Kursuse lõpuks suudavad osalejad:
- - meenutada Tartu observatooriumi kosmosetehnoloogia osakonna ja laborite võimekusi;
- - kirjeldada erinevaid võimalusi kosmose valdkonnas Eestis ja ESAs;
- - selgitada miks me peaksime kosmost uurima;
- - kirjeldada kuidas Eesti sobitub kosmosevõidujooksu;
- - kavandada kosmose missiooni koostöös teistega;
- - luua tiimiliikmena väärtust;
- - luua nõuetele vastava lahenduse koostöös teistega;
- - kirjeldada ECSSi ja üldiselt standardite kasulikkust;
- - tuvastada ja kirjeldada satelliitide alamsüsteeme;
- - tuvastada ja kirjeldada kosmosemissioonide faase;
- - luua seoseid eelnevate kogemustega;
- - meenutada fundamentaalseid füüsikalisi mõisteid, millest kosmosemissioonid sõltuvad;
- - teha loogilisi oletusi piiratud teadmistega;
- - analüüsida kosmosemissioone ja neid algtasemel arvustada.",inglise keel,"Eristav (A, B, C, D, E, F, mi)",Tõravere alevik,"bakalaureuseõpe, doktoriõpe, integreeritud bakalaureuse- ja magistriõpe, magistriõpe, rakenduskõrgharidusõpe","1. Homework 45%
2. Course project  55%",Participation in course project and positive grade in course project.,
P2VK.02.749,Helidisain,3.0,sügis,"Õppeaine hõlmab järgmisi teoreetilise ja praktilise tegevuse valdkondi: erinevate filmis kasutavate heliformaatide tutvustus, filmi helindamise põhitõed, praktilised teadmised heli ja pildi sünkroniseerimisest, filmiheli kokkumängu erinevus muusikalise materjali miksimisest.",,Allar Tiigi,"- Aine läbinud üliõpilane:
* omab teadmisi ja arusaamist heli ja pildi kooskasutamisest ning töötlemisest
* oskab sünkroniseerida heli ja pilti
* oskab kasutada helieffektide pankasid ning vajadused salvestada vajaminevaid soundieffekte 
* oskab lugeda lugeda filmi või video storyboardi ning koostada helilise storyboardi
* oskab miksida dialoogi, atmosfääri, muusikat ja soundieffekte terviklikuks filmi ""soundtrackiks""
* oskab vormistada miksitud materjal DVD plaadile vajalikus audioformaadis (stereo, Dolby Surround)",eesti keel,"Eristav (A, B, C, D, E, F, mi)",Viljandi linn,rakenduskõrgharidusõpe,,Praktikumides ja loengutes osalemine vähemalt 75%,"HVVK.02.063 Audioprogrammid, HVVK.00.045 Helisalvestus II"
MVPT.04.002,Meditsiiniõigus,2.0,sügis,Ülevaade meditsiinivaldkonna suhete õiguslikust regulatsioonist.,,"Ants Nõmper, Kaja-Triin Laisaar",- Õppeaine läbinud üliõpilane omab ülevaadet meditsiinivaldkonna suhete õiguslikust regulatsioonist.,eesti keel,"Eristamata (arv, m.arv, mi)",,integreeritud bakalaureuse- ja magistriõpe,"Arvestuse saamiseks tuleb valikvastustega testis vastata õigesti vähemalt 70% küsimustele. Test toimub viimase loengu lõpus, küsimustele vastamiseks on aega 45 minutit.",Osalemine loengutes. Lubatud on puududa ühest loengust.,
FLLC.08.001,Ida-Aasia maad ja rahvad,3.0,sügis,"Loengutes käsitletakse järgmisi teemasid: 1) Ida-Aasia maade (Hiina, Taiwan, Korea, Jaapan) geograafiline ja geopoliitiline asend; 2) Ida-Aasia maade etniline koosseis ning keelelised eripärad ja ühisused; 3) Ida-Aasia kui ühtne kultuuriregioon ja selle kujunemise ajaloolised tagamaad; 4) Ida-Aasia maade kultuuride põhijooned omavahelises võrdluses; 5) Ida-Aasia maade poliitika ja majandus, nende omavahelised suhted; 6) Ida-Aasia maade koht ja roll tänapäeva maailmas.",Neljapäev,Mart Tšernjuk,"- Kursuse läbinud üliõpilane: 1) omab süsteemset ülevaadet ja põhiteadmisi Ida-Aasia maade geograafiast, keeltest, kultuuridest ja omavahelistest suhetest ning oskab neid omavahel võrdlevalt analüüsida; 2) orienteerub Ida-Aasia uuringute teoreetilistes küsimustes ja põhimõistetes; 3) oskab neid teadmisi oma edasistes õpingutes nende keelte, ajaloo, kultuuri jm alal kasutada; 4) oskab neid teadmisi praktikas rakendada ning iseseisvalt oma erialast lähtuvalt täiendada ja edasi arendada.",eesti keel,"Eristav (A, B, C, D, E, F, mi)",,"bakalaureuseõpe, doktoriõpe, integreeritud bakalaureuse- ja magistriõpe, magistriõpe","Essee ja ettekanne - 40%
Jooksvad tööd ja ülesanded - 60%",Kohalkäimine vähemalt 75%.,
ARAI.01.039,Esmaabi,2.0,sügis,"Kursusel osutatakse põhitähelepanu baasteadmistele ja oskustele kliinilise surma tuvastamisel ning esmaste elustamisvõtete rakendamisel (sh koos AED kasutamisega). Praktilised harjutused sooritatakse mannekeenidel, millele järgneb tüüpiliste elustamise situatsioonülesannete lahendamine (südame äkksurm tunnistajate juuresolekul, hingamisseiskus, krambihoog, uppumine, liiklusõnnetus ja raske trauma, võõrkeha ülemistes hingamisteedes). Peale situatsioonülesande lahendamist toimub arutelu. Õpitakse osutama esmaabi välise verejooksu, haavade ja luumurdude korral. Praktikumides osalemine on kohustuslik.",,"Aleksander Sipria, Ceith Nikkolo, Jaanus Suumann, Kaarel Kallandi, Kadri Tamme, Kaspar Tootsi, Liis Jaanimäe, Liivi Maddison, Reedik Pääsuke, Tiit Vaasna, Urmas Lepner","- Kursuse läbinu:
- - teab õnnetusjuhtumite ja äkkhaigestumiste peamiseid põhjuseid
- - teab kuidas tagada sündmuskohal abiandja ja kannatanu ohutus (sh COVID-19 nakkuskahtluse korral)
- - oskab hinnata ja tunneb ära kriitilises seisundis (sh kliinilises surmas) kannatanu
- - oskab õigeaegselt rakendada esmaseid elustamisvõtteid täiskasvanule ja lapsele (sh kasutada automaatset kehavälist defibrillaatorit ehk AED-d)
- - oskab osutada esmaabi eluohtlike ja potentsiaalselt eluohtlike seisundite korral (võõrkeha ülemistes hingamisteedes, shokk, teadvushäired, krambid, uppumine, elektritrauma, juhuslik hüpotermia, kuumakahjustused, südamehaigused, mürgistused, loomade ja putukate hammustused, raske allergiline reaktsioon, bronhiaalastma ja äkksünnitus)
- - oskab haavade korral peatada verejooksu ja katta haav steriilse sidemega
- - oskab osutada esmaabi traumahaigele ja rakendada esmaabivõtteid verejooksu sulgemiseks ja luumurdude lahastamiseks
- Seoses koroonaviiruse levikuga ei õpetata sellel aastal üliõpilastele elustamise praktikumidel kunstliku hingamist suust-suhu meetodil, samuti pocket maski abil. Keskendutakse rindkere kompressioonide kvaliteedile ja varajasele AED kasutamisele. Üliõpilane peab oskama avada mannekeenil ülemised hingamisteed ja rakendada adekvaatset ventilatsiooni Ambukoti ja maski abil (ühe ja kahe inimese poolt teostatav ventilatsiooni tehnika).",inglise keel,"Eristamata (arv, m.arv, mi)",Tartu linn,integreeritud bakalaureuse- ja magistriõpe,Non-differentiated assessment has grade ``pass`` when practical tasks on the manikins are performed successfully.,"Osalemine kõikides praktikumides.
During penultimate practicum students perform written test. At the end of this practicum teaching staff member assess written tests and inform students about their results. When the written test is performed positively students are allowed to the last practicum for non-differentiated assessment of practical skills on the manikins. If students fail written test they should perform it again at the prescribed times with other groups.``",
MTAT.03.015,Arvutigraafika,6.0,sügis,"Aines käsitletakse põhilisi arvutigraafika meetodeid. Pearõhk on 
kolmemõõtmelisel graafikal (projitseerimine, valgustus, varjud, tekstuurid, kiire 
jälgimise meetodid). Praktikumide käigus realiseerivad osalejad loengutes käsitletud 
algoritme, programmeerivad erinevate graafikapaketide abil (peamiselt OpenGL, lühidalt 
tulevad ette Allegro ja mõned teised teegid) ning tutvuvad kolmemõõtmelise modelleerimise 
põhimõtetega (Blenderi näitel). Aine lõpuks peab tudengitel olema hea ettekujutus 
tüüpilise graafikasüsteemi arhitektuurist ning kasutusest, tudeng peab olema suuteline ise 
realiseerima lihtsat OpenGLi-põhist rakendust ja ka lihtsat 3-d mootorit. Aine eeldab 
baasteadmisi lineaaralgebrast ning elementaarseid programmeerimisoskusi.","Teisipäev, Kolmapäev","Ats Kurvet, Jaanus Jaggo, Mathias Plans, Raimond-Hendrik Tunnel","- Aine läbinud tudeng
- - On teadlik põhilistest arvutigraafika rakendustest ning selleks kasutatavatest meetoditest.
- - Omab head ettekujutust kaasaegse graafikasüsteemi tarkvaralisest ning riistvaralisest ülesehitusest.
- - On suuteline kirjeldada ja realiseerida arvutis põhilisi kahe- ja kolmemõõtmeliste objektide rasteriseerimisalgoritme.
- - On suuteline kasutada OpenGL APId madala taseme kolmemõõtmelise graafika programmeerimiseks.
- - On suuteline kirjeldada klassikalist (fikseeritud) graafikakoneieri loogikat (OpenGL 1.x), muuhulgas selles kasutatavaid projitseerimis-, valgustus-, tekstuurimis-, jt tehnikaid.
- - On suuteline kasutada ka programmeeritava graafikakonveieri (OpenGL 2.0+) võimalusi.
- - Saab aru kolmemõõtmelises ruumis modelleerimiseks kasutatavatest põhiformalismidest (""afiinne ruum"", ""homogeensed koordinaadid"", ""lineaarsed teisendused"", ""parametriseeritud pinnad"", ""splainid"", jne).",inglise keel,"Eristav (A, B, C, D, E, F, mi)",,"bakalaureuseõpe, magistriõpe","Kodutööd: 40 punkti.
Projekt: 30 punkti. 
Test: 30 punkti.

Kursuse jooksul on võimalik teenida lisapunkte. 

Lõplik tulemus kujuneb punktide põhjal arvestusega:","Sinu hinne kujuneb kodutöödest, projektist ja eksamist läbivalt terve semestri jooksul. Kursuse lõpus olevale eksamile või projektide esitlusele pääsemiseks lisatingimusi ei ole.",
LOKT.08.005,Kemomeetria,6.0,sügis,"Kemomeetria on teadusharu, mis kasutab statistilisi meetodeid, et ekstraheerida keemia alastest andmetest vajalikku informatsiooni. Käeoleva kursuse eesmärgiks on anda tudengitele ülevaade  ja praktiline kogemus põhilistest andmeanalüüsi meetoditest. Selle kursuse raames peatutakse põhilistel kirjeldava statistika meetoditel, uurimusliku andmeanalüüsi meetoditel (peakomponent analüüs ja klasterdamine) ja andmete modelleerimise meetoditel (regrassioon ja klassifitseerimine). Omandatud meetodeid on võimalik rakendada lõputöös või teistes statistilist analüüsi nõudvates ainetes.",,"Geven Piir, Uko Maran","- Käeoleva kursuse läbimisel tudeng tunneb:
- - erinevaid andme ja muutujate tüüpe
- - põhilisi kirjeldava statistika meetodeid
- - põhilisi kirjeldava statistika meetodeid
- - põhilisi andmete modellerimise meetodeid
- Käeoleva kursuse läbimisel tudeng oskab:
- - kasutada programmeerimiskeelt R andmeanalüüsiks
- - andmeid visualiseerida ja seoseid leida
- - iseseisvalt töötada ja kasutada statistika tööriistu probleemide lahendamiseks
- - lähtuvalt andmete tüübist valida sobiva meetodi andmete kirjeldamiseks
- - teostada erinevaid analüüse: põhikomponent-, klaster-, klassiifitseerimis- ja regressioonianalüüsi",inglise keel,"Eristav (A, B, C, D, E, F, mi)",,"doktoriõpe, magistriõpe",Written exam (multiple choice questions + exercises),,
FLGR.05.089,Slaavi filoloogia alused,3.0,sügis,"Kursuse käigus tutvustatakse üliõpilastele:
1.	tänapäeva slaavi maailma ja slaavi keeli;
2.	slaavi keelte ja rahvaste põlvnemise problemaatikat;
3.	slaavi rahvaste elu muinasajal (elupaigad, ühiskondlik kord, uskumused) ja infoallikaid, millest võib leida teavet muinasslaavlaste kohta;
4.	slaavi filoloogia ajalugu.",,Irina Abisogomjan,"- Õppeaine läbinud üliõpilased:
- 1) omavad informatsiooni slaavi keelte positsioonist tänapäeva maailmas, tunnevad slaavlaste päritolu hüpoteese;
- 2) tunnevad slaavi rahvaste keelelis-etnilise arengu uurimise meetodeid;
- 3) omavad ettekujutust slaavi keelte ajaloolisest ja tänapäevasest levikualast;
- 4) oskavad eristada tõest ja spekulatiivset informatsiooni slaavi rahvaste põlvnemise ja leviku kohta, mis on eriti oluline tänapäeval seoses sellega, et on ilmunud rohkelt poliitiliselt angažeeritud kirjandust, milles käsitletakse slaavi rahvaste vaimset arengut;
- 5) orienteeruvad slaavi filoloogia ajaloos, sh TÜ slavistika arengu ajaloos.",eesti keel,"Eristav (A, B, C, D, E, F, mi)",,bakalaureuseõpe,Positiivne hinne referaadi eest ja testide läbimine vähemalt 50% ulatuses,"1) Aktiivne osavõtt õppetööst (min 75%)
2) Referaat
3) Kaks kontrolltööd semestri jooksul",
MJ00.00.012,Uurimus (majandusteadus),3.0,sügis,Nõuetele vastava uurimuse koostamine.,Teisipäev,Triinu Pihus,"- Uurimistöö koostanud üliõpilane:
- *	oskab leida uuritava probleemi kohta kaasaegset erialast teaduskirjandust;
- *	suudab eri allikatest pärinevat infot analüüsida ning sünteesida;
- *	oskab püstitada uurimisküsimust ning valida sobiva metoodika ja andmed selle lahendamiseks;
- *	on omandanud korrektse kirjaliku väljendusoskuse;
- *	tunneb erialast eesti teaduskeelt ja terminoloogiat;
- *	oskab kirjalikku üliõpilastööd korrektselt (juhendi nõudeid järgides) vormistada;
- *	oskab oma tööd tähtaegu järgivalt planeerida.",eesti keel,"Eristamata (arv, m.arv, mi)",Tartu linn,bakalaureuseõpe,Uurimust hindab juhendaja skaalal arvestatud/mittearvestatud lähtudes hindamiskriteeriumitest.,Uurimuse õigeaegne üleslaadimine Moodle' keskkonda.,
